2023/11/07 09:33:48:480 	Total Order Loaded 592
2023/11/07 09:35:03:248 	m_ClientList_forDeal_locked
2023/11/07 10:03:20:549 	m_ClientList_forDeal_locked
2023/11/07 10:03:26:173 	m_ClientList_forDeal_locked
2023/11/07 10:12:44:806 	m_ClientList_forDeal_locked
2023/11/07 10:22:31:151 	m_ClientList_forDeal_locked
2023/11/07 10:22:34:765 	m_ClientList_forDeal_locked
2023/11/07 10:22:35:166 	m_ClientList_forDeal_locked
2023/11/07 10:22:35:167 	m_ClientList_forDeal_locked
2023/11/07 10:27:38:455 	m_ClientList_forDeal_locked
2023/11/07 10:28:04:562 	m_ClientList_forDeal_locked
2023/11/07 10:31:57:912 	m_ClientList_forDeal_locked
2023/11/07 10:49:04:906 	m_ClientList_forDeal_locked
2023/11/07 11:05:29:356 	m_ClientList_forDeal_locked
2023/11/07 11:21:03:115 	m_ClientList_forDeal_locked
2023/11/07 11:41:04:828 	m_ClientList_forDeal_locked
2023/11/07 11:41:10:051 	m_ClientList_forDeal_locked
2023/11/07 11:47:53:710 	m_ClientList_forDeal_locked
2023/11/07 11:48:57:973 	m_ClientList_forDeal_locked
2023/11/07 11:49:43:761 	m_ClientList_forDeal_locked
2023/11/07 11:49:55:409 	m_ClientList_forDeal_locked
2023/11/07 11:50:29:947 	m_ClientList_forDeal_locked
2023/11/07 11:50:45:207 	m_ClientList_forDeal_locked
2023/11/07 11:53:21:551 	m_ClientList_forDeal_locked
2023/11/07 12:00:16:026 	O R F Client {"type":"LOGIN_BY_KEY","loginbykey":{"type":"LOGIN_BY_KEY","authKey":"oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX"}}
2023/11/07 12:00:16:027 	R F Client {"type":"LOGIN_BY_KEY","authKey":"oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX"}
2023/11/07 12:00:16:027 	Client RegesteredID:: Login Status 0
2023/11/07 12:00:16:027 	Going to lock client lock loginbytoken
2023/11/07 12:00:16:027 	Client lock locked
2023/11/07 12:00:16:027 	Exit from client lock
2023/11/07 12:00:16:030 	New Key Created loginbytoken Validated 1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030
2023/11/07 12:00:16:030 	U122
2023/11/07 12:00:16:030 	123
2023/11/07 12:00:16:067 	Going to enter in critical section
2023/11/07 12:00:16:067 	Entered in critical section
2023/11/07 12:00:17:240 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","typeandloginrequest":{"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}}
2023/11/07 12:00:17:240 	R F Client {"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}
2023/11/07 12:00:17:240 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:00:17:244 	O R F Client {"type":"ACTIVE_COLUMNS_CHANGED","activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["subbroker","broker","symbol","exchange","clientfloatingpl","brokerfloatingpl","subbrokerfloatingpl","companyfloatingpl","clientgrossamount","brokergrossamount","subbrokergrossamount","companygrossamount"],"loginUser":"1001"}}
2023/11/07 12:00:17:244 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["subbroker","broker","symbol","exchange","clientfloatingpl","brokerfloatingpl","subbrokerfloatingpl","companyfloatingpl","clientgrossamount","brokergrossamount","subbrokergrossamount","companygrossamount"],"loginUser":"1001"}
2023/11/07 12:00:17:244 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:00:27:241 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:00:27:241 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:00:27:241 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:00:37:242 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:00:37:242 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:00:37:242 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:00:47:242 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:00:47:242 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:00:47:242 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:00:57:243 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:00:57:243 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:00:57:243 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:07:245 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:07:245 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:07:245 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:17:244 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:17:244 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:17:244 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:27:247 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:27:247 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:27:247 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:37:247 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:37:247 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:37:247 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:47:249 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:47:249 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:47:249 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:01:57:249 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:01:57:249 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:01:57:249 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:07:250 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:07:250 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:07:250 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:17:250 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:17:250 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:17:250 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:27:249 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:27:249 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:27:249 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:37:251 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:37:251 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:37:251 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:47:251 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:47:251 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:47:251 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:02:57:251 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:02:57:251 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:02:57:251 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:07:251 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:07:251 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:07:251 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:17:251 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:17:251 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:17:251 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:27:253 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:27:254 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:27:254 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:37:253 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:37:253 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:37:253 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:47:254 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:47:254 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:47:254 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:03:57:255 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:03:57:255 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:03:57:256 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:04:07:254 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:04:07:254 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:04:07:254 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:04:17:255 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:04:17:255 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:04:17:256 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
2023/11/07 12:04:27:255 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/11/07 12:04:27:255 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/11/07 12:04:27:255 	Client RegesteredID:1001:oreka-rms-stock-spreadsheet.28wde4rDAAdq3qfXBNwsxX-12:00:16:030 Login Status 1
