2023/12/22 23:29:04:382 	Total Order Loaded 3889
2023/12/22 23:36:15:980 	O R F Client {"loginbytoken":{"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:51:10:322!~o!1001!~o!122.161.52.99!~o!1703182870"}}
2023/12/22 23:36:15:980 	R F Client {"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:51:10:322!~o!1001!~o!122.161.52.99!~o!1703182870"}
2023/12/22 23:36:15:980 	Client RegesteredID:: Login Status 0
2023/12/22 23:36:15:980 	Going to lock client lock loginbytoken
2023/12/22 23:36:15:980 	Client lock locked
2023/12/22 23:36:15:980 	Exit from client lock
2023/12/22 23:36:16:400 	O R F Client {}
2023/12/22 23:36:16:400 	R F Client {}
2023/12/22 23:36:18:419 	Going to delete client For Key 
2023/12/22 23:36:18:419 	Client thread trminated 
2023/12/22 23:36:18:419 	Call app_on_session_close 
2023/12/22 23:36:18:419 	Client Removed From Client Context
2023/12/22 23:36:18:419 	Call app_on_session_close Finished 
2023/12/22 23:36:18:420 	Client deleted 
2023/12/22 23:36:20:068 	O R F Client {"loginrequest":{"type":"login","login":"1001","pwd":"hello12345","serialNo":"50de353a8b1cd849918862ff7dd2c628"}}
2023/12/22 23:36:20:068 	R F Client {"type":"login","login":"1001","pwd":"hello12345","serialNo":"50de353a8b1cd849918862ff7dd2c628"}
2023/12/22 23:36:20:068 	Client RegesteredID:: Login Status 0
2023/12/22 23:36:20:069 	 Going to Lock 123
2023/12/22 23:36:20:069 	123 locked
2023/12/22 23:36:20:177 	New Key Created Validated 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:36:20:179 	Going to register a new client with session ID 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:36:20:181 	UN321
2023/12/22 23:36:20:483 	O R F Client {"typeandloginrequest":{"type":"FETCH_PAGE_LIST","loginUser":"1001"}}
2023/12/22 23:36:20:483 	R F Client {"type":"FETCH_PAGE_LIST","loginUser":"1001"}
2023/12/22 23:36:20:483 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:487 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:36:20:487 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:36:20:487 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:489 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:36:20:489 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:36:20:489 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:490 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}}
2023/12/22 23:36:20:490 	R F Client {"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}
2023/12/22 23:36:20:490 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:491 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}}
2023/12/22 23:36:20:491 	R F Client {"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}
2023/12/22 23:36:20:491 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:670 	O R F Client {"typeandloginrequest":{"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}}
2023/12/22 23:36:20:670 	R F Client {"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}
2023/12/22 23:36:20:670 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:673 	O R F Client {"loginbytoken":{"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}}
2023/12/22 23:36:20:673 	R F Client {"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}
2023/12/22 23:36:20:673 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:673 	Going to lock client lock loginbytoken
2023/12/22 23:36:20:673 	Client lock locked
2023/12/22 23:36:20:673 	Exit from client lock
2023/12/22 23:36:20:750 	O R F Client {"type":"FETCH_PAGE_DETAILS","fetchpagedetails":{"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}}
2023/12/22 23:36:20:750 	R F Client {"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}
2023/12/22 23:36:20:750 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:800 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:36:20:800 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:36:20:800 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:802 	O R F Client {"typeandloginrequest":{"type":"FETCH_SELECTED_THEME","loginUser":"1001"}}
2023/12/22 23:36:20:802 	R F Client {"type":"FETCH_SELECTED_THEME","loginUser":"1001"}
2023/12/22 23:36:20:802 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:20:803 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:36:20:803 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:36:20:803 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:21:276 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:36:21:276 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:36:21:276 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:21:632 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
2023/12/22 23:36:21:632 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:36:21:632 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:21:633 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}}
2023/12/22 23:36:21:633 	R F Client {"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}
2023/12/22 23:36:21:633 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:21:633 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
2023/12/22 23:36:21:633 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:36:21:633 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:36:21:634 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/12/22 23:36:21:634 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/12/22 23:36:21:634 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177 Login Status 1
2023/12/22 23:37:01:732 	O R F Client {}
2023/12/22 23:37:01:732 	R F Client {}
2023/12/22 23:37:01:732 	Going to delete client For Key 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:01:732 	Going to trminate thread 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:01:934 	Client thread trminated 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:01:934 	Call app_on_session_close 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:01:934 	Client Removed From Client Context
2023/12/22 23:37:01:934 	Call app_on_session_close Finished 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:01:936 	Client deleted 1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177
2023/12/22 23:37:02:771 	O R F Client {"loginbytoken":{"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}}
2023/12/22 23:37:02:771 	R F Client {"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}
2023/12/22 23:37:02:771 	Client RegesteredID:: Login Status 0
2023/12/22 23:37:02:771 	Going to lock client lock loginbytoken
2023/12/22 23:37:02:771 	Client lock locked
2023/12/22 23:37:02:771 	Exit from client lock
2023/12/22 23:37:02:771 	New Key Created loginbytoken Validated 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:37:02:771 	U122
2023/12/22 23:37:02:771 	123
2023/12/22 23:37:02:774 	Going to enter in critical section
2023/12/22 23:37:02:775 	Entered in critical section
2023/12/22 23:37:03:002 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}}
2023/12/22 23:37:03:003 	R F Client {"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}
2023/12/22 23:37:03:003 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:003 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}}
2023/12/22 23:37:03:003 	R F Client {"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}
2023/12/22 23:37:03:003 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:175 	O R F Client {"typeandloginrequest":{"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}}
2023/12/22 23:37:03:175 	R F Client {"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}
2023/12/22 23:37:03:175 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:179 	O R F Client {"typeandloginrequest":{"type":"FETCH_PAGE_LIST","loginUser":"1001"}}
2023/12/22 23:37:03:179 	R F Client {"type":"FETCH_PAGE_LIST","loginUser":"1001"}
2023/12/22 23:37:03:179 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:181 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:37:03:181 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:37:03:181 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:182 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:37:03:182 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:37:03:182 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:183 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}}
2023/12/22 23:37:03:183 	R F Client {"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}
2023/12/22 23:37:03:184 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:184 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}}
2023/12/22 23:37:03:184 	R F Client {"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}
2023/12/22 23:37:03:184 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:347 	O R F Client {"typeandloginrequest":{"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}}
2023/12/22 23:37:03:347 	R F Client {"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}
2023/12/22 23:37:03:347 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:667 	O R F Client {"type":"FETCH_PAGE_DETAILS","fetchpagedetails":{"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}}
2023/12/22 23:37:03:668 	R F Client {"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}
2023/12/22 23:37:03:668 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:713 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:37:03:713 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:37:03:713 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:715 	O R F Client {"typeandloginrequest":{"type":"FETCH_SELECTED_THEME","loginUser":"1001"}}
2023/12/22 23:37:03:715 	R F Client {"type":"FETCH_SELECTED_THEME","loginUser":"1001"}
2023/12/22 23:37:03:715 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:03:716 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:37:03:716 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:37:03:716 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:04:206 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:37:04:206 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:37:04:206 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:04:582 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
2023/12/22 23:37:04:582 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:37:04:582 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:04:583 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}}
2023/12/22 23:37:04:583 	R F Client {"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}
2023/12/22 23:37:04:583 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:04:583 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
